  0%|                                                                                                                                                                                   | 0/110 [00:00<?, ?it/s]/opt/conda/envs/llm-project/lib/python3.11/site-packages/torch/_dynamo/eval_frame.py:1044: UserWarning: torch.utils.checkpoint: the use_reentrant parameter should be passed explicitly. Starting in PyTorch 2.9, calling checkpoint without use_reentrant will raise an exception. use_reentrant=False is recommended, but if you need to preserve the current default behavior, you can pass use_reentrant=True. Refer to docs for more details on the differences between the two variants.
  return fn(*args, **kwargs)
                                                                                                                                                                                                                
{'loss': 2.5744, 'grad_norm': 4.559511661529541, 'learning_rate': 0.0, 'epoch': 0.02}
{'loss': 0.591, 'grad_norm': 0.3887714743614197, 'learning_rate': 0.00013000000000000002, 'epoch': 1.2}
{'loss': 0.5127, 'grad_norm': 0.5428260564804077, 'learning_rate': 0.000132, 'epoch': 1.22}
{'loss': 0.4968, 'grad_norm': 0.58250892162323, 'learning_rate': 0.000134, 'epoch': 1.24}
{'loss': 0.5235, 'grad_norm': 0.4684124290943146, 'learning_rate': 0.00013600000000000003, 'epoch': 1.25}
{'loss': 0.5021, 'grad_norm': 0.7151677012443542, 'learning_rate': 0.000138, 'epoch': 1.27}
{'loss': 0.5339, 'grad_norm': 0.5395650267601013, 'learning_rate': 0.00014, 'epoch': 1.29}
{'loss': 0.683, 'grad_norm': 0.4902322590351105, 'learning_rate': 0.000142, 'epoch': 1.31}
{'loss': 0.5042, 'grad_norm': 0.5063393712043762, 'learning_rate': 0.000144, 'epoch': 1.33}
{'loss': 0.4964, 'grad_norm': 0.5695202946662903, 'learning_rate': 0.000146, 'epoch': 1.35}
{'loss': 0.5132, 'grad_norm': 0.6078318953514099, 'learning_rate': 0.000148, 'epoch': 1.36}
{'loss': 0.528, 'grad_norm': 0.4401096701622009, 'learning_rate': 0.00015000000000000001, 'epoch': 1.38}
{'loss': 0.5543, 'grad_norm': 0.4666469991207123, 'learning_rate': 0.000152, 'epoch': 1.4}
{'loss': 0.4987, 'grad_norm': 0.4930587708950043, 'learning_rate': 0.000154, 'epoch': 1.42}
{'loss': 0.5599, 'grad_norm': 0.40226250886917114, 'learning_rate': 0.00015600000000000002, 'epoch': 1.44}
{'loss': 0.5061, 'grad_norm': 0.5691139101982117, 'learning_rate': 0.00015800000000000002, 'epoch': 1.45}
{'loss': 0.4884, 'grad_norm': 0.4811953008174896, 'learning_rate': 0.00016, 'epoch': 1.47}
{'loss': 0.4948, 'grad_norm': 0.42455556988716125, 'learning_rate': 0.000162, 'epoch': 1.49}
{'loss': 0.5302, 'grad_norm': 0.4482424557209015, 'learning_rate': 0.000164, 'epoch': 1.51}
{'loss': 0.5541, 'grad_norm': 0.40610986948013306, 'learning_rate': 0.000166, 'epoch': 1.53}
{'loss': 0.5364, 'grad_norm': 0.5400096774101257, 'learning_rate': 0.000168, 'epoch': 1.55}
{'loss': 0.497, 'grad_norm': 0.5366813540458679, 'learning_rate': 0.00017, 'epoch': 1.56}
{'loss': 0.5431, 'grad_norm': 0.44631385803222656, 'learning_rate': 0.000172, 'epoch': 1.58}
{'loss': 0.5512, 'grad_norm': 0.3341454565525055, 'learning_rate': 0.000174, 'epoch': 1.6}
{'loss': 0.4894, 'grad_norm': 0.3799062967300415, 'learning_rate': 0.00017600000000000002, 'epoch': 1.62}
{'loss': 0.5278, 'grad_norm': 0.36303022503852844, 'learning_rate': 0.00017800000000000002, 'epoch': 1.64}
{'loss': 0.4901, 'grad_norm': 0.3967113792896271, 'learning_rate': 0.00018, 'epoch': 1.65}
{'loss': 0.3991, 'grad_norm': 0.4675179421901703, 'learning_rate': 0.000182, 'epoch': 1.67}
{'loss': 0.4903, 'grad_norm': 0.5048342943191528, 'learning_rate': 0.00018400000000000003, 'epoch': 1.69}
{'loss': 0.4843, 'grad_norm': 0.37705186009407043, 'learning_rate': 0.00018600000000000002, 'epoch': 1.71}
{'loss': 0.4767, 'grad_norm': 0.3393493592739105, 'learning_rate': 0.000188, 'epoch': 1.73}
{'loss': 0.4427, 'grad_norm': 0.37866637110710144, 'learning_rate': 0.00019, 'epoch': 1.75}
{'loss': 0.5201, 'grad_norm': 0.4339042007923126, 'learning_rate': 0.000192, 'epoch': 1.76}
{'loss': 0.4485, 'grad_norm': 0.4278079569339752, 'learning_rate': 0.000194, 'epoch': 1.78}
{'loss': 0.5202, 'grad_norm': 0.41229933500289917, 'learning_rate': 0.000196, 'epoch': 1.8}
{'loss': 0.5121, 'grad_norm': 0.4172745943069458, 'learning_rate': 0.00019800000000000002, 'epoch': 1.82}
{'loss': 0.3705, 'grad_norm': 0.4462134838104248, 'learning_rate': 0.0002, 'epoch': 1.84}
{'loss': 0.486, 'grad_norm': 0.517626166343689, 'learning_rate': 0.00019510565162951537, 'epoch': 1.85}
{'loss': 0.4823, 'grad_norm': 0.44436872005462646, 'learning_rate': 0.00018090169943749476, 'epoch': 1.87}
{'loss': 0.437, 'grad_norm': 0.3899863362312317, 'learning_rate': 0.00015877852522924732, 'epoch': 1.89}
{'loss': 0.4682, 'grad_norm': 0.4207995533943176, 'learning_rate': 0.00013090169943749476, 'epoch': 1.91}
{'loss': 0.507, 'grad_norm': 0.3691853880882263, 'learning_rate': 0.0001, 'epoch': 1.93}
{'loss': 0.491, 'grad_norm': 0.3595128059387207, 'learning_rate': 6.909830056250527e-05, 'epoch': 1.95}
{'loss': 0.4714, 'grad_norm': 0.32379254698753357, 'learning_rate': 4.12214747707527e-05, 'epoch': 1.96}
{'loss': 0.4027, 'grad_norm': 0.3551355004310608, 'learning_rate': 1.9098300562505266e-05, 'epoch': 1.98}
{'loss': 0.546, 'grad_norm': 0.3732714056968689, 'learning_rate': 4.8943483704846475e-06, 'epoch': 2.0}
{'train_runtime': 1318.2389, 'train_samples_per_second': 2.666, 'train_steps_per_second': 0.083, 'train_loss': 0.8953623300248926, 'epoch': 2.0}
2025-11-29 05:06:10,301 - INFO - Running evaluation on validation set...
100%|███████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 49/49 [00:23<00:00,  2.05it/s]
2025-11-29 05:06:34,571 - INFO - Eval metrics: {'eval_loss': 0.5006919503211975, 'eval_runtime': 24.267, 'eval_samples_per_second': 8.077, 'eval_steps_per_second': 2.019, 'epoch': 2.0, 'perplexity': 1.6498624987039616}
2025-11-29 05:06:34,571 - INFO - Saving final model to models/checkpoints/Polymarket-7B-LoRA
2025-11-29 05:06:36,802 - INFO - ============================================================
2025-11-29 05:06:36,802 - INFO - Training completed successfully!
2025-11-29 05:06:36,802 - INFO - Model saved to: models/checkpoints/Polymarket-7B-LoRA
2025-11-29 05:06:36,802 - INFO - ============================================================
